system:index,active_proportion,activity_label,alert_id,classification,count,label,n_active,n_coca,n_forest,n_historical,n_pixels,region,threat_level,.geo
+3243+5538,0.020833333333333332,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3243+5538,1,4,1,1,13,0,34,48,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43515428728949,-11.504589096426097]}"
+3243+5558,0.044444444444444446,COCA CULTIVATION detected — illegal narcotics production in protected area,+3243+5558,3,1,1,2,39,0,4,45,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43178560497405,-11.597789307153496]}"
+3243+5584,0.0,LOW RISK: Intact forest or RADD false positive,+3243+5584,0,1,1,0,2,43,0,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43178560497405,-11.714570294089034]}"
+3243+5603,0.0,LOW RISK: Intact forest or RADD false positive,+3243+5603,0,6,1,0,0,41,7,48,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43103700890396,-11.793172881449491]}"
+3243+5631,0.08888888888888889,LOW RISK: Intact forest or RADD false positive,+3243+5631,0,1,1,4,0,41,0,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43178560497405,-11.92567438585712]}"
+3243+5662,0.3111111111111111,LOW RISK: Intact forest or RADD false positive,+3243+5662,0,1,1,14,0,29,2,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43178560497405,-12.064913254895645]}"
+3243+5671,0.0,LOW RISK: Intact forest or RADD false positive,+3243+5671,0,2,1,0,0,47,0,47,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43178560497405,-12.103091654470726]}"
+3243+5684,0.5833333333333334,MODERATE CONFIDENCE: Likely active Illegal gold mining,+3243+5684,2,2,1,28,2,0,18,48,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43403139318436,-12.163727936148794]}"
+3243+5694,0.022222222222222223,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3243+5694,1,1,1,1,0,0,44,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43178560497405,-12.208643700354768]}"
+3243+5696,0.08888888888888889,LOW RISK: Intact forest or RADD false positive,+3243+5696,0,1,1,4,0,41,0,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43178560497405,-12.217626853195965]}"
+3243+5739,0.044444444444444446,COCA CULTIVATION detected — illegal narcotics production in protected area,+3243+5739,3,2,1,2,31,0,12,45,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43178560497405,-12.408518851071362]}"
+3243+5744,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3243+5744,1,76,1,0,0,13,34,47,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.41594688812248,-12.392680134219786]}"
+3243+5766,1.0,HIGH CONFIDENCE: Active Illegal gold mining,+3243+5766,2,1,1,10,0,0,0,10,Madre de Dios,CRITICAL,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43178560497405,-12.532037202637797]}"
+3244+5554,0.3076923076923077,COCA CULTIVATION detected — illegal narcotics production in protected area,+3244+5554,3,13,1,12,27,0,0,39,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.41312828753465,-11.566693778087819]}"
+3244+5571,0.06666666666666667,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3244+5571,1,1,1,3,4,6,32,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42729402855345,-11.656179800621265]}"
+3244+5581,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3244+5581,1,1,1,0,7,16,22,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42729402855345,-11.70109556482724]}"
+3244+5587,0.0,COCA CULTIVATION detected — illegal narcotics production in protected area,+3244+5587,3,1,1,0,37,8,0,45,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42729402855345,-11.728045023350825]}"
+3244+5633,0.4888888888888889,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3244+5633,1,1,1,22,0,0,23,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42729402855345,-11.934657538698316]}"
+3244+5650,0.7111111111111111,HIGH CONFIDENCE: Active Illegal gold mining,+3244+5650,2,1,1,32,0,9,4,45,Madre de Dios,CRITICAL,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42729402855345,-12.011014337848474]}"
+3244+5668,0.0,LOW RISK: Intact forest or RADD false positive,+3244+5668,0,3,1,0,0,50,0,50,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42879122069365,-12.090365521279034]}"
+3244+5688,0.26666666666666666,COCA CULTIVATION detected — illegal narcotics production in protected area,+3244+5688,3,1,1,12,17,0,16,45,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42729402855345,-12.181694241831183]}"
+3244+5690,0.022222222222222223,LOW RISK: Intact forest or RADD false positive,+3244+5690,0,1,1,1,5,29,10,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42729402855345,-12.19067739467238]}"
+3244+5701,0.02,LOW RISK: Intact forest or RADD false positive,+3244+5701,0,2,1,1,0,36,13,50,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42953981676375,-12.237838947088653]}"
+3244+5713,0.0,LOW RISK: Intact forest or RADD false positive,+3244+5713,0,20,1,0,0,41,5,46,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42998897440582,-12.28297929011566]}"
+3245+5562,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3245+5562,1,1,1,0,0,0,45,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42280245213286,-11.615755612835885]}"
+3245+5564,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3245+5564,1,1,1,0,0,0,45,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42280245213286,-11.624738765677082]}"
+3245+5568,0.15555555555555556,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3245+5568,1,1,1,7,1,0,37,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42280245213286,-11.64270507135947]}"
+3245+5585,0.0,LOW RISK: Intact forest or RADD false positive,+3245+5585,0,1,1,0,2,24,19,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42280245213286,-11.719061870509632]}"
+3245+5629,0.04081632653061224,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3245+5629,1,3,1,2,0,0,47,49,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42429964427305,-11.913696848735524]}"
+3245+5631,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3245+5631,1,1,1,0,0,13,32,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42280245213286,-11.92567438585712]}"
+3245+5645,0.0,LOW RISK: Intact forest or RADD false positive,+3245+5645,0,1,1,0,0,45,0,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42280245213286,-11.988556455745487]}"
+3245+5656,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3245+5656,1,1,1,0,0,2,43,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42280245213286,-12.03796379637206]}"
+3245+5686,0.0,LOW RISK: Intact forest or RADD false positive,+3245+5686,0,1,1,0,0,27,18,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42280245213286,-12.17271108898999]}"
+3245+5692,0.0,COCA CULTIVATION detected — illegal narcotics production in protected area,+3245+5692,3,1,1,0,41,0,4,45,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42280245213286,-12.199660547513576]}"
+3245+5749,0.7352941176470589,HIGH CONFIDENCE: Active Illegal gold mining,+3245+5749,2,1,1,25,9,0,0,34,Madre de Dios,CRITICAL,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42280245213286,-12.455680403487639]}"
+3245+5751,0.8333333333333334,HIGH CONFIDENCE: Active Illegal gold mining,+3245+5751,2,1,1,30,6,0,0,36,Madre de Dios,CRITICAL,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42280245213286,-12.464663556328835]}"
+3245+5773,0.5666666666666667,MODERATE CONFIDENCE: Likely active Illegal gold mining,+3245+5773,2,58,1,17,12,0,1,30,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.41908528543995,-12.544350317308057]}"
+3246+5549,0.4,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3246+5549,1,5,1,18,1,0,26,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42190413684874,-11.551076912379282]}"
+3246+5556,0.10869565217391304,COCA CULTIVATION detected — illegal narcotics production in protected area,+3246+5556,3,2,1,5,41,0,0,46,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.41606508750196,-11.586560366102]}"
+3246+5593,0.0,LOW RISK: Intact forest or RADD false positive,+3246+5593,0,1,1,0,0,45,0,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.41831087571225,-11.75499448187441]}"
+3246+5661,0.020833333333333332,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3246+5661,1,2,1,1,0,9,38,48,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42055666392255,-12.06042167847505]}"
+3246+5694,0.044444444444444446,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3246+5694,1,1,1,2,0,11,32,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.41831087571225,-12.208643700354768]}"
+3246+5699,0.0,LOW RISK: Intact forest or RADD false positive,+3246+5699,0,3,1,0,0,48,0,48,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.42130525999265,-12.22960439031756]}"
+3246+5703,0.02127659574468085,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3246+5703,1,3,1,1,0,7,39,47,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.41531649143187,-12.24457631171955]}"
+3247+5545,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3247+5545,1,1,1,0,10,3,32,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.41381929929166,-11.539398813685727]}"
+3247+5569,0.0,COCA CULTIVATION detected — illegal narcotics production in protected area,+3247+5569,3,1,1,0,29,15,1,45,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.41381929929166,-11.647196647780069]}"
+3247+5597,0.0,LOW RISK: Intact forest or RADD false positive,+3247+5597,0,2,1,0,0,49,0,49,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.41606508750196,-11.770714999346504]}"
+3247+5627,0.4,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3247+5627,1,1,1,18,0,3,24,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.41381929929166,-11.90770808017473]}"
+3247+5681,0.0,LOW RISK: Intact forest or RADD false positive,+3247+5681,0,11,1,0,0,51,0,51,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.423210777262,-12.14249502943324]}"
+3247+5684,0.041666666666666664,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3247+5684,1,2,1,2,0,17,29,48,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.41606508750196,-12.163727936148794]}"
+3248+5538,0.0,LOW RISK: Intact forest or RADD false positive,+3248+5538,0,2,1,0,0,47,1,48,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.41157351108136,-11.507957778741543]}"
