system:index,active_proportion,activity_label,alert_id,classification,count,label,n_active,n_coca,n_forest,n_historical,n_pixels,region,threat_level,.geo
+3234+5614,0.0,LOW RISK: Intact forest or RADD false positive,+3234+5614,0,4,1,0,0,38,10,48,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.47333268686458,-11.843703116181215]}"
+3234+5643,0.019230769230769232,LOW RISK: Intact forest or RADD false positive,+3234+5643,0,4,1,1,0,49,2,52,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.47445558096973,-11.976204620588843]}"
+3234+5671,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3234+5671,1,7,1,0,0,0,48,48,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46964317766195,-12.098920904937314]}"
+3234+5692,0.0,LOW RISK: Intact forest or RADD false positive,+3234+5692,0,103,1,0,0,34,15,49,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.47726826717486,-12.158756676809494]}"
+3234+5729,0.0,COCA CULTIVATION detected — illegal narcotics production in protected area,+3234+5729,3,4,1,0,44,7,1,52,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.47445558096973,-12.36248019276024]}"
+3234+5768,0.26666666666666666,LOW RISK: Intact forest or RADD false positive,+3234+5768,0,1,1,12,0,19,14,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.47220979275943,-12.541020355478993]}"
+3235+5552,0.26666666666666666,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3235+5552,1,1,1,12,0,0,33,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46771821633882,-11.57083984862991]}"
+3235+5564,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3235+5564,1,3,1,0,8,4,33,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46771821633882,-11.620247189256483]}"
+3235+5570,0.022222222222222223,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3235+5570,1,1,1,1,0,0,44,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46771821633882,-11.651688224200667]}"
+3235+5585,0.0,COCA CULTIVATION detected — illegal narcotics production in protected area,+3235+5585,3,1,1,0,28,0,17,45,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46771821633882,-11.719061870509632]}"
